price,lotsize,bedrooms,bathrooms,stories,driveway,recroom,fullbase,gashw,airco,garage,prefarea
42000,5850,3,1,2,yes,no,yes,no,no,1,no
38500,4000,2,1,1,yes,no,no,no,no,0,no
49500,3060,3,1,1,yes,no,no,no,no,0,no
60500,6650,3,1,2,yes,yes,no,no,no,0,no
61000,6360,2,1,1,yes,no,no,no,no,0,no
66000,4160,3,1,1,yes,yes,yes,no,yes,0,no
66000,3880,3,2,2,yes,no,yes,no,no,2,no
69000,4160,3,1,3,yes,no,no,no,no,0,no
83800,4800,3,1,1,yes,yes,yes,no,no,0,no
88500,5500,3,2,4,yes,yes,no,no,yes,1,no
90000,7200,3,2,1,yes,no,yes,no,yes,3,no
30500,3000,2,1,1,no,no,no,no,no,0,no
27000,1700,3,1,2,yes,no,no,no,no,0,no
36000,2880,3,1,1,no,no,no,no,no,0,no
37000,3600,2,1,1,yes,no,no,no,no,0,no
37900,3185,2,1,1,yes,no,no,no,yes,0,no
40500,3300,3,1,2,no,no,no,no,no,1,no
